iter	RMSE
0	79.58886915
1	77.80847525
2	76.15353976
3	74.42460927
4	73.02923727
5	71.42243302
6	70.00036906
7	68.63245549
8	67.36037734
9	65.91194571
10	64.44685254
11	63.12290679
12	61.9710438
13	60.70409625
14	59.49022583
15	58.26126458
16	57.2802734
17	56.2356888
18	55.08052314
19	54.04770983
20	52.90712128
21	51.93592791
22	50.96491966
23	49.99409032
24	49.11271031
25	48.16597925
26	47.22202043
27	46.373505
28	45.54297129
29	44.7233978
30	43.84778512
31	43.10123494
32	42.35816562
33	41.59905015
34	40.90510435
35	40.20315544
36	39.48660834
37	38.81350142
38	38.19214528
39	37.6097121
40	36.95408285
41	36.41320691
42	35.77984278
43	35.18692239
44	34.5972932
45	34.07940512
46	33.49581535
47	32.94230163
48	32.40775519
49	31.88403095
50	31.36432746
51	30.96569207
52	30.52712717
53	30.05798698
54	29.59707486
55	29.14480867
56	28.67374773
57	28.29891147
58	27.86989051
59	27.54090083
60	27.10984912
61	26.73954172
62	26.37980756
63	26.01466958
64	25.6662677
65	25.26204883
66	24.95176391
67	24.598747
68	24.25331638
69	23.91202615
70	23.63120234
71	23.34998057
72	23.01997936
73	22.71180141
74	22.40833707
75	22.12919924
76	21.84424622
77	21.5753001
78	21.30744869
79	21.06387789
80	20.83034128
81	20.61896041
82	20.3636939
83	20.15276456
84	19.90703655
85	19.67789252
86	19.47566021
87	19.2401666
88	19.0471075
89	18.83197213
90	18.63214585
91	18.4242192
92	18.25324277
93	18.0893081
94	17.92121658
95	17.72922672
96	17.53020243
97	17.35081405
98	17.18282514
99	17.03856081
100	16.87701194
101	16.72249319
102	16.55853994
103	16.41094145
104	16.25770052
105	16.08318916
106	15.94148306
107	15.80814177
108	15.69175634
109	15.5329796
110	15.38749349
111	15.28632557
112	15.15749751
113	15.03540289
114	14.93204859
115	14.79618229
116	14.68158908
117	14.57380645
118	14.4542789
119	14.34506765
120	14.22058754
121	14.12160207
122	14.03632357
123	13.93874712
124	13.8145629
125	13.73750232
126	13.66944738
127	13.56015713
128	13.46875365
129	13.36632755
130	13.2982425
131	13.20664399
132	13.12515184
