iter	Passed	Remaining
0	187	187346
1	189	94458
2	190	63364
3	191	47801
4	193	38444
5	194	32196
6	195	27736
7	196	24385
8	197	21778
9	198	19692
10	200	17986
11	201	16566
12	202	15365
13	203	14334
14	204	13442
15	205	12665
16	207	11980
17	208	11366
18	209	10817
19	210	10319
20	211	9867
21	212	9456
22	213	9081
23	214	8736
24	215	8419
25	216	8128
26	218	7858
27	219	7610
28	220	7378
29	221	7162
30	222	6960
31	223	6768
32	224	6589
33	225	6419
34	227	6259
35	228	6108
36	229	5966
37	230	5830
38	231	5701
39	232	5579
40	233	5464
41	234	5354
42	235	5250
43	237	5151
44	238	5055
45	239	4962
46	240	4874
47	241	4789
48	242	4707
49	243	4628
50	244	4553
51	245	4480
52	246	4410
53	248	4344
54	249	4281
55	250	4219
56	251	4160
57	252	4103
58	253	4047
59	254	3992
60	256	3941
61	257	3891
62	258	3841
63	259	3793
64	260	3747
65	261	3701
66	262	3657
67	263	3614
68	264	3573
69	265	3533
70	267	3496
71	268	3458
72	269	3421
73	270	3385
74	271	3349
75	272	3315
76	273	3281
77	274	3248
78	275	3216
79	276	3185
80	278	3155
81	279	3125
82	280	3096
83	281	3069
84	282	3043
85	283	3017
86	285	2990
87	286	2965
88	287	2939
89	288	2914
90	289	2891
91	290	2867
92	291	2844
93	292	2822
94	293	2799
95	295	2777
96	296	2756
97	297	2736
98	298	2716
99	299	2695
100	300	2675
101	301	2656
102	302	2636
103	303	2618
104	305	2599
105	306	2581
106	307	2564
107	308	2546
108	309	2529
109	310	2512
110	311	2496
111	313	2482
112	314	2466
113	315	2450
114	316	2435
115	317	2419
116	318	2404
117	319	2389
118	320	2374
119	321	2359
120	322	2345
121	323	2331
122	325	2318
123	326	2305
124	327	2295
125	329	2283
126	330	2271
127	331	2258
128	332	2246
129	333	2233
130	334	2221
131	335	2208
132	336	2196
133	338	2184
134	339	2174
135	340	2162
136	341	2151
137	343	2142
138	344	2132
139	345	2121
140	346	2111
141	347	2100
142	348	2090
143	349	2079
144	350	2069
145	352	2059
146	353	2049
147	354	2039
148	355	2029
149	356	2020
150	357	2011
151	359	2003
152	360	1994
153	361	1985
154	362	1976
155	363	1967
156	364	1959
157	365	1950
158	367	1941
159	368	1932
160	369	1924
161	370	1915
162	371	1907
163	372	1898
164	374	1893
165	375	1885
166	376	1876
167	377	1868
168	378	1861
169	379	1853
170	380	1845
171	381	1837
172	382	1830
173	383	1822
174	384	1814
175	386	1807
176	387	1800
177	388	1793
178	389	1787
179	390	1780
180	391	1772
181	392	1765
182	393	1758
183	395	1752
184	396	1745
185	397	1738
186	398	1731
187	399	1724
188	400	1718
189	401	1712
190	402	1705
191	404	1700
192	405	1694
193	406	1688
194	407	1682
195	408	1676
196	409	1670
197	410	1663
198	411	1657
199	412	1651
200	414	1646
201	415	1640
202	416	1634
203	417	1628
204	418	1623
205	419	1618
206	421	1613
207	422	1607
208	423	1601
209	424	1596
210	425	1590
211	426	1584
212	427	1579
213	428	1574
214	429	1568
215	432	1571
216	434	1566
217	435	1562
218	436	1557
219	437	1551
220	438	1546
221	439	1541
222	440	1536
223	441	1530
224	442	1525
225	444	1520
226	445	1516
227	446	1511
228	447	1506
229	448	1501
230	449	1497
231	450	1492
232	452	1488
233	453	1483
234	454	1478
235	455	1474
236	456	1469
237	457	1465
238	458	1460
239	459	1456
240	460	1451
241	461	1446
242	462	1442
243	464	1437
244	465	1433
245	466	1429
246	467	1425
247	468	1421
248	469	1417
249	471	1413
250	472	1408
251	473	1404
252	474	1400
253	475	1396
254	476	1391
255	477	1387
256	478	1384
257	479	1380
258	481	1377
259	482	1373
260	483	1369
261	484	1365
262	485	1361
263	486	1357
264	487	1353
265	488	1349
266	489	1345
267	491	1341
268	492	1337
269	493	1333
270	494	1330
271	495	1327
272	497	1323
273	498	1319
274	499	1315
275	500	1312
276	501	1308
277	502	1304
278	503	1300
279	504	1297
280	505	1293
281	506	1289
282	507	1286
283	508	1282
284	509	1279
285	511	1276
286	512	1272
287	513	1269
288	514	1265
289	515	1262
290	516	1258
291	517	1255
292	518	1251
293	519	1248
294	520	1244
295	521	1241
296	523	1238
297	524	1234
298	525	1231
299	526	1228
300	527	1225
301	528	1222
302	529	1218
303	530	1215
304	532	1212
305	533	1208
306	534	1205
307	535	1202
308	536	1199
309	537	1196
310	538	1193
311	539	1189
312	540	1186
313	542	1184
314	543	1181
315	544	1178
316	545	1175
317	546	1171
318	547	1168
319	548	1165
320	549	1162
321	550	1159
322	551	1156
323	552	1153
324	554	1150
325	555	1147
326	556	1144
327	557	1141
328	558	1139
329	559	1136
330	560	1133
331	561	1130
332	563	1127
333	564	1124
334	565	1121
335	566	1119
336	567	1116
337	568	1113
338	569	1110
339	570	1107
340	571	1105
341	573	1102
342	574	1099
343	575	1097
344	576	1094
345	577	1091
346	578	1088
347	579	1086
348	580	1083
349	581	1080
350	582	1077
351	584	1075
352	585	1072
353	586	1069
354	587	1067
355	588	1064
356	589	1062
357	590	1059
358	591	1056
359	592	1054
360	594	1051
361	595	1048
362	596	1046
363	597	1043
364	598	1040
365	599	1038
366	600	1035
367	601	1033
368	602	1030
369	603	1028
370	605	1025
371	606	1023
372	607	1020
373	608	1018
374	609	1015
375	610	1013
376	611	1011
377	613	1008
378	614	1006
379	615	1003
380	616	1001
381	617	999
382	618	996
383	620	994
384	621	992
385	622	989
386	623	987
387	624	985
388	625	982
389	626	980
390	628	978
391	629	976
392	630	973
393	631	971
394	632	969
395	633	967
396	635	964
397	636	962
398	637	960
399	638	958
400	640	956
401	641	953
402	642	952
403	643	949
404	645	947
405	646	945
406	647	943
407	648	941
408	649	939
409	651	936
410	652	934
411	653	932
412	655	931
413	656	929
414	657	927
415	658	925
416	660	922
417	661	920
418	662	918
419	664	917
420	665	915
421	666	913
422	668	911
423	669	909
424	670	907
425	671	905
426	673	903
427	674	901
428	675	899
429	677	897
430	678	896
431	680	895
432	682	893
433	683	891
434	684	889
435	686	887
436	687	885
437	688	883
438	690	881
439	691	879
440	692	877
441	693	875
442	695	874
443	696	872
444	697	870
445	699	868
446	700	866
447	701	864
448	702	862
449	703	860
450	704	857
451	705	855
452	707	853
453	708	851
454	709	849
455	710	847
456	712	846
457	713	844
458	714	842
459	715	840
460	716	838
461	718	836
462	719	834
463	720	832
464	721	830
465	722	828
466	724	826
467	725	824
468	726	822
469	727	820
470	728	818
471	730	816
472	731	814
473	732	812
474	733	810
475	734	808
476	735	806
477	737	804
478	738	802
479	739	801
480	740	799
481	741	797
482	743	795
483	744	793
484	745	792
485	747	790
486	748	788
487	749	786
488	750	784
489	751	782
490	752	780
491	753	778
492	755	776
493	756	774
494	757	772
495	758	770
496	759	768
497	760	766
498	761	765
499	763	763
500	764	761
501	765	759
502	766	757
503	767	755
504	768	753
505	769	751
506	770	749
507	771	747
508	772	745
509	774	743
510	775	741
511	776	739
512	777	737
513	778	736
514	779	734
515	780	732
516	781	730
517	782	728
518	783	726
519	785	724
520	786	722
521	787	720
522	788	719
523	789	717
524	790	715
525	791	713
526	792	711
527	793	709
528	794	707
529	795	705
530	796	703
531	798	702
532	799	700
533	800	698
534	801	696
535	802	694
536	803	692
537	804	690
538	805	689
539	806	687
540	807	685
541	808	683
542	809	681
543	811	679
544	812	678
545	813	676
546	814	674
547	815	672
548	816	671
549	817	669
550	819	667
551	820	665
552	821	663
553	822	662
554	823	660
555	824	658
556	825	656
557	826	654
558	827	652
559	828	651
560	829	649
561	830	647
